Location,Land Area,Bedrooms,Floor,Facing,Road Access,Price
"Budhanilkantha, K'",7.0,5,2.5,E,20,45000000.0
"Khadka Gaun, K'",4.0,4,2.5,NW,13,23000000.0
"Mandikhatar, K'",5.0,6,2.5,E,18,45000000.0
"Nakhipot, L'",7.0,8,3.0,W,20,80000000.0
"Mahadevsthan, K'",3.0,2,1.0,E,10,10500000.0
"Hattiban, L'",4.0,3,2.0,S,13,21100000.0
"Kapan, K'",3.2,3,2.5,E,13,14000000.0
"Thaiba, L'",6.0,4,2.5,NE,20,48500000.0
"Narephate, K'",6.0,6,2.5,W,13,38500000.0
"Sano bharyang, K'",5.1,7,2.5,S,12,18500000.0
"Sitapaila, K'",6.5,5,2.0,S,14,70000000.0
"Chandol, K'",6.0,5,2.0,N,18,46000000.0
"Bhaisepati, L'",4.0,6,2.5,NW,16,37500000.0
"Dhapasi, K'",6.0,6,2.5,S,20,33000000.0
"Hepali Height, K'",4.0,6,2.5,N,14,33000000.0
"Sitapaila, K'",4.2,4,2.5,N,16,24000000.0
"Makalbari, K'",2.2,6,3.5,NE,12,17000000.0
"Karyabinayak, L'",4.0,4,2.5,W,20,32500000.0
"Syuchatar, K'",4.0,7,3.5,N,20,29500000.0
"Mulpani, K'",4.1,4,3.0,SE,14,22500000.0
"Bhaisepati, L'",3.2,4,2.5,N,20,25000000.0
"Ram Mandir, K'",4.2,6,2.5,SW,13,27200000.000000004
"Sukedhara, K'",6.0,5,2.5,W,12,40000000.0
"Dhumbarahi, K'",5.5,7,3.0,E,12,62500000.0
"Dhungedhara, K'",3.2,7,3.0,S,12,26000000.0
"Thankot, K'",4.2,4,2.5,W,13,16000000.0
"Imadol, L'",2.2,3,2.5,E,13,17000000.0
"Golfutar, K'",5.2,5,3.0,S,13,40000000.0
"Gwarko, L'",4.0,5,2.0,NW,15,19500000.0
"Golfutar, K'",4.0,5,2.5,SE,20,37000000.0
"Thankot, K'",3.0,4,2.5,E,13,15000000.0
"Imadol, L'",3.2,4,2.5,N,13,19000000.0
"Dhapasi, K'",5.0,3,2.5,E,13,32000000.0
"Rudreshwor, K'",7.2,5,2.5,S,14,42000000.0
"Narayanthan, K'",6.0,5,2.5,S,18,47500000.0
"Deuba Chowk, K'",4.1,5,2.5,SW,14,32500000.0
"Pepsicola, K'",3.3,4,2.5,SE,20,33000000.0
"Baluwatar, K'",5.0,4,2.5,SE,13,55000000.0
"Rudreshwor, K'",5.0,7,2.5,NW,18,37500000.0
"Bhaisepati, L'",4.0,4,2.5,N,20,38000000.0
"Sudal, B'",3.0,2,1.0,N,10,7500000.0
"Bhaisepati, L'",3.2,4,2.5,E,20,24500000.0
"Golfutar, K'",4.0,5,2.5,SE,13,27000000.0
"Liwali, B'",7.2,3,2.5,E,13,35000000.0
"Imadol, L'",3.0,4,2.5,E,14,18500000.0
"Nakhu, L'",3.2,4,2.5,N,20,26500000.0
"Imadol, L'",3.0,7,2.5,N,13,16000000.0
"Hattigauda, K'",3.0,4,2.5,E,13,23000000.0
"Hattigauda, K'",5.2,7,3.5,SE,13,26500000.0
"Dholahiti, L'",4.0,4,2.5,W,20,27500000.0
"Imadol, L'",3.0,4,2.5,E,13,19000000.0
"Shantinagar, K'",3.0,10,3.5,S,30,39000000.0
"Bafal, K'",4.2,4,2.5,E,13,25500000.0
"Dhungedhara, K'",3.2,5,2.5,S,12,28000000.0
"Thankot, K'",3.0,7,2.5,W,5,10500000.0
"Thankot, K'",3.0,3,1.0,N,13,11500000.0
"Bafal, K'",4.0,6,2.5,W,14,30000000.0
"Banasthali, K'",4.0,5,3.0,E,32,30000000.0
"Ramkot, K'",4.0,4,2.0,N,20,15500000.0
"Ramkot, K'",5.0,4,2.0,N,20,17500000.0
"Khusibu, K'",4.2,7,3.5,E,20,41000000.0
"Hattiban, L'",4.0,6,2.5,N,13,21500000.0
"Hattiban, L'",4.0,5,2.5,N,13,21000000.0
"Bhaisepati, L'",5.0,4,2.5,N,15,35000000.0
"Shovahiti, L'",4.2,2,1.0,S,10,25000000.0
"Basantanagar, K'",3.2,2,1.0,E,13,13000000.0
"Budhanilkantha, K'",5.1,6,2.5,NW,13,41500000.0
"Grande Hospital, K'",4.0,4,2.5,N,26,26000000.0
"Grande Hospital, K'",4.0,6,2.5,E,26,28000000.0
"Deuba Chowk, K'",6.0,6,2.5,E,14,36000000.0
"Hattigauda, K'",5.0,4,2.5,E,14,34500000.0
"Gwarko, L'",4.2,5,2.5,S,13,30000000.0
"Tokha, K'",7.0,4,2.5,W,20,38000000.0
"Hattigauda, K'",3.0,5,3.5,NW,13,31000000.0
"Kalanki, K'",4.1,5,2.5,S,10,29000000.0
"Thulo Bharayang, K'",7.0,7,2.5,N,13,39500000.0
"Chandol, K'",5.2,5,2.5,E,20,47500000.0
"New Buspark, K'",3.0,4,2.5,E,13,26000000.0
"Mahadevsthan, K'",3.0,2,1.0,N,13,9800000.0
"Hepali Height, K'",4.0,3,2.5,S,13,22500000.0
"Nakhu, L'",4.0,4,2.5,E,20,28000000.0
"Karyabinayak, L'",6.0,5,2.5,SE,16,35000000.0
"Kapan, K'",7.0,6,2.5,S,13,36000000.0
"Mulpani, K'",2.5,4,2.5,SE,10,12500000.0
"Taukhel, L'",4.0,3,2.5,E,26,25000000.0
"Gothatar, K'",3.1,6,2.5,W,13,23000000.0
"Balambu, K'",3.1,5,2.5,E,13,18000000.0
"Bhaisepati, L'",4.0,6,2.5,E,13,25000000.0
"Khadka Gaun, K'",4.0,5,2.5,W,16,21500000.0
"Bhutkhel , K'",3.0,5,2.5,S,10,18000000.0
"Chyasal, L'",3.0,7,4.0,W,13,24000000.0
"Thulo Bharayang, K'",3.2,5,2.0,W,16,24000000.0
"Dhapakhel, L'",2.2,3,2.5,E,20,14500000.0
"Panipokhari, K'",5.2,4,3.0,E,20,54000000.0
"Kapan, K'",4.0,6,2.5,E,14,21000000.0
"Manabahadur Marga, K'",4.0,5,2.5,N,13,27000000.0
"Budhanilkantha, K'",7.0,4,2.5,S,20,57500000.0
"Bansbari, K'",8.0,6,2.5,E,20,45000000.0
"Kavresthali, K'",4.0,3,1.5,N,10,15500000.0
"Goldhunga, K'",4.0,4,2.0,E,26,18500000.0
"Thankot, K'",4.0,5,3.5,E,13,30000000.0
"Nakhipot, L'",4.2,5,2.5,N,20,25000000.0
"Thankot, K'",4.0,4,2.0,N,16,19000000.0
"Mitrapark, K'",4.3,6,4.5,SW,30,49000000.0
